Марка,Цена,Ссылка,Залоговая стоимость
"Новый BMW X3 2.0 AT, 2025, цена от 7 649 000 руб. - Автомобили в Москве",8899000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2025_7391383810?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,6674250.0
"BMW X3 3.0 AT, 2018, 215 810 км, с пробегом, цена 3 600 000 руб. - Автомобили в Москве",3600000,https://www.avito.ru/moskva/avtomobili/bmw_x3_3.0_at_2018_215_810_km_7317646352?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,2700000.0
"Новый BMW X3 2.0 AT, 2024, цена от 6 200 000 руб. - Автомобили в Москве",6500000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2024_7390884519?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,4875000.0
"BMW X3 2.0 AT, 2019, 80 285 км, с пробегом, цена 4 000 000 руб. - Автомобили в Москве",4000000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2019_80_285_km_7349174831?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,3000000.0
"Новый BMW X3 2.0 AT, 2025, цена от 7 848 000 руб. - Автомобили в Москве",8748000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2025_7391492917?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,6561000.0
"Новый BMW X3 2.0 AT, 2025, цена от 7 848 000 руб. - Автомобили в Москве",8748000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2025_7391345864?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,6561000.0
"Новый BMW X3 2.0 AT, 2025, цена от 7 700 000 руб. - Автомобили в Москве",9000000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2025_7423034947?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,6750000.0
"Новый BMW X3 2.0 AT, 2025, цена от 8 500 000 руб. - Автомобили в Москве",9200000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2025_7262906190?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,6900000.0
"Новый BMW X3 2.0 AT, 2025, цена от 7 848 000 руб. - Автомобили в Москве",8748000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2025_7391544287?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,6561000.0
"Новый BMW X3 2.0 AT, 2025, цена от 8 100 000 руб. - Автомобили в Москве",8650000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2025_7262136732?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYYlJncW1MQXNWR0ZWUEd4Ijt9FTrhPD8AAAA,6487500.0
